district_code,state_postal,district_name,notes
0090,DC,District of Columbia,
0100,ME,District of Maine,
0101,MA,District of Massachusetts,
0102,NH,District of New Hampshire,
0103,RI,District of Rhode Island,
0104,PR,District of Puerto Rico,territory
0205,CT,District of Connecticut,
0206,NY,Northern District of New York,
0207,NY,Eastern District of New York,
0208,NY,Southern District of New York,
0209,NY,Western District of New York,
0210,VT,District of Vermont,
0311,DE,District of Delaware,
0312,NJ,District of New Jersey,
0313,PA,Eastern District of Pennsylvania,
0314,PA,Middle District of Pennsylvania,
0315,PA,Western District of Pennsylvania,
0391,VI,District of the Virgin Islands,territory
0416,MD,District of Maryland,
0417,NC,Eastern District of North Carolina,
0418,NC,Middle District of North Carolina,
0419,NC,Western District of North Carolina,
0420,SC,District of South Carolina,
0422,VA,Eastern District of Virginia,
0423,VA,Western District of Virginia,
0424,WV,Northern District of West Virginia,
0425,WV,Southern District of West Virginia,
0536,LA,Western District of Louisiana,
0537,MS,Northern District of Mississippi,
0538,MS,Southern District of Mississippi,
0539,TX,Northern District of Texas,
053L,LA,Eastern District of Louisiana,
053N,LA,Middle District of Louisiana,
0540,TX,Eastern District of Texas,
0541,TX,Southern District of Texas,
0542,TX,Western District of Texas,
0643,KY,Eastern District of Kentucky,
0644,KY,Western District of Kentucky,
0645,MI,Eastern District of Michigan,
0646,MI,Western District of Michigan,
0647,OH,Northern District of Ohio,
0648,OH,Southern District of Ohio,
0649,TN,Eastern District of Tennessee,
0650,TN,Middle District of Tennessee,
0651,TN,Western District of Tennessee,
0752,IL,Northern District of Illinois,
0753,IL,Central District of Illinois,
0754,IL,Southern District of Illinois,
0755,IN,Northern District of Indiana,
0756,IN,Southern District of Indiana,
0757,WI,Eastern District of Wisconsin,
0758,WI,Western District of Wisconsin,
0860,AR,Eastern District of Arkansas,
0861,AR,Western District of Arkansas,
0862,IA,Northern District of Iowa,
0863,IA,Southern District of Iowa,
0864,MN,District of Minnesota,
0865,MO,Eastern District of Missouri,
0866,MO,Western District of Missouri,
0867,NE,District of Nebraska,
0868,ND,District of North Dakota,
0869,SD,District of South Dakota,
097-,AK,District of Alaska,
0970,AZ,District of Arizona,
0971,CA,Northern District of California,
0972,CA,Eastern District of California,
0973,CA,Central District of California,
0974,CA,Southern District of California,
0975,HI,District of Hawaii,
0976,ID,District of Idaho,
0977,MT,District of Montana,
0978,NV,District of Nevada,
0979,OR,District of Oregon,
0980,WA,Eastern District of Washington,
0981,WA,Western District of Washington,
0993,GU,District of Guam,territory
0994,MP,District of the Northern Mariana Islands,territory
1082,CO,District of Colorado,
1083,KS,District of Kansas,
1084,NM,District of New Mexico,
1085,OK,Northern District of Oklahoma,
1086,OK,Eastern District of Oklahoma,
1087,OK,Western District of Oklahoma,
1088,UT,District of Utah,
1089,WY,District of Wyoming,
1126,AL,Northern District of Alabama,
1127,AL,Middle District of Alabama,
1128,AL,Southern District of Alabama,
1129,FL,Northern District of Florida,
113A,FL,Middle District of Florida,
113C,FL,Southern District of Florida,
113E,GA,Northern District of Georgia,
113G,GA,Middle District of Georgia,
113J,GA,Southern District of Georgia,
