year,line,total_complaints,n_companies,median_ratio,total_premium
2018,annuity,75,293,0.0,7623995420.0
2018,auto,2648,244,0.35,7650582008.0
2018,group_health,756,301,0.0,17503978318.0
2018,hmo,313,62,0.0,17410590493.0
2018,homeowners,822,212,0.42,3719716728.0
2018,individual_health,561,355,0.0,6857683940.0
2018,life,556,444,0.0,5649158588.0
2019,annuity,26,3,0.2996,3548410.0
2019,auto,4694,59,0.4417,13322480912.0
2019,group_health,1461,32,2.07435,92837842.0
2019,homeowners,1640,34,0.34245000000000003,6320540516.0
2019,individual_health,166,6,0.12434999999999999,26058190.0
2019,life,968,30,2.05525,7304440.0
2020,annuity,96,33,0.0235,53001536.0
2020,auto,1712,43,0.2979,5862304471.0
2020,group_health,988,28,3.2396,76045628.0
2020,homeowners,1732,31,0.3157,6569190966.0
2020,individual_health,270,7,0.1009,26551454.0
2020,life,610,25,1.48145,5729174.0
2023,annuity,175,7,0.0724,63779877.0
2023,auto,3472,71,0.3981,9309672733.0
2023,health,1306,37,3.4017,10998948.0
2023,homeowners,2210,54,0.447,4753261531.0
2023,life,1773,40,2.1431500000000003,14557801.0
2024,annuity,146,5,0.9182,2131523.0
2024,auto,3541,76,0.3147,10908992633.0
2024,health,1658,37,3.0729,11034960.0
2024,homeowners,1350,59,0.429,3640205004.0
2024,life,1859,43,1.9267,16391976.0
