fy,total,settled_wd_dismissed,bad_faith,no_violation,breach_pay_only,source,on_merits,pct_insured_wins,pct_any_insured_finding
2008,40,14,1,25,0,"FY2008 report (partial year, some pending at publication)",26,3.8461538461538463,3.8461538461538463
2009,52,21,3,28,0,FY2013 report Table 1 (retrospective),31,9.67741935483871,9.67741935483871
2010,33,14,1,18,0,FY2013 report Table 1 (retrospective),19,5.263157894736842,5.263157894736842
2011,26,7,1,18,0,FY2013 report Table 1 (retrospective; FY2011 own report had 8/2/16),19,5.263157894736842,5.263157894736842
2012,20,9,3,8,0,FY2013 report Table 1,11,27.27272727272727,27.27272727272727
2013,34,14,4,16,0,FY2013 report Table 1,20,20.0,20.0
2014,26,10,3,13,0,FY2019 report Table 1,16,18.75,18.75
2015,18,3,3,12,0,FY2019 report Table 1,15,20.0,20.0
2016,25,10,1,14,0,FY2019 report Table 1,15,6.666666666666667,6.666666666666667
2017,28,6,1,21,0,FY2019 report Table 1,22,4.545454545454546,4.545454545454546
2018,26,8,0,18,0,FY2019 report Table 1,18,0.0,0.0
2019,30,2,1,27,0,FY2023 report Table 2,28,3.571428571428571,3.571428571428571
2020,28,9,1,18,0,FY2023 report Table 2,19,5.263157894736842,5.263157894736842
2021,58,18,3,37,0,FY2023 report Table 2,40,7.5,7.5
2022,85,25,0,59,1,FY2023 report Table 2,60,0.0,1.6666666666666667
2023,87,11,0,76,0,FY2023 report Table 1+2,76,0.0,0.0
2024,43,15,0,28,0,FY2024 report Table 1,28,0.0,0.0
2025,52,22,2,28,0,FY2025 report Table 1 (settled adjusted from 27→22 to reconcile to total=52),30,6.666666666666667,6.666666666666667
