state,year,line,complaints_total,pct_resolved_consumer_relief,against_insurer,for_insurer
MO,2017,all_other_ah,1018.0,0.381,388,630
MO,2018,all_other_ah,994.0,0.34600000000000003,344,650
MO,2019,all_other_ah,874.0,0.406,355,519
MO,2020,all_other_ah,729.0,0.401,292,437
MO,2021,all_other_ah,609.0,0.41100000000000003,250,359
MO,2022,all_other_ah,631.0,0.47700000000000004,301,330
MO,2023,all_other_ah,692.0,0.5,346,346
MO,2017,hmo,29.0,,,
MO,2018,hmo,19.0,0.316,6,13
MO,2019,hmo,12.0,,,
MO,2020,hmo,7.0,0.28600000000000003,2,5
MO,2021,hmo,8.0,0.375,3,5
MO,2022,hmo,7.0,0.28600000000000003,2,5
MO,2023,hmo,6.0,,,
MO,2017,homeowners,318.0,0.22,70,248
MO,2018,homeowners,247.0,0.255,63,184
MO,2019,homeowners,287.0,0.282,81,206
MO,2020,homeowners,255.0,0.349,89,166
MO,2021,homeowners,348.0,0.264,92,256
MO,2022,homeowners,360.0,0.331,119,241
MO,2023,homeowners,537.0,0.37799999999999995,203,334
MO,2017,life_annuities,349.0,0.292,102,247
MO,2018,life_annuities,298.0,0.33899999999999997,101,197
MO,2019,life_annuities,293.0,0.324,95,198
MO,2020,life_annuities,228.0,0.33299999999999996,76,152
MO,2021,life_annuities,250.0,0.364,91,159
MO,2022,life_annuities,250.0,0.36,90,160
MO,2023,life_annuities,244.0,0.332,81,163
MO,2017,long_term_care,70.0,0.28600000000000003,20,50
MO,2018,long_term_care,61.0,0.27899999999999997,17,44
MO,2019,long_term_care,67.0,0.358,24,43
MO,2020,long_term_care,55.0,0.4,22,33
MO,2021,long_term_care,48.0,0.375,18,30
MO,2022,long_term_care,53.0,0.642,34,19
MO,2017,medicare_supplement,46.0,0.652,30,16
MO,2018,medicare_supplement,45.0,0.5329999999999999,24,21
MO,2019,medicare_supplement,29.0,0.379,11,18
MO,2020,medicare_supplement,28.0,0.536,15,13
MO,2021,medicare_supplement,23.0,0.609,14,9
MO,2022,medicare_supplement,23.0,0.565,13,10
MO,2023,medicare_supplement,30.0,0.733,22,8
MO,2017,other_pc,170.0,0.424,72,98
MO,2018,other_pc,166.0,0.506,84,82
MO,2019,other_pc,134.0,0.396,53,81
MO,2020,other_pc,167.0,0.425,71,96
MO,2021,other_pc,146.0,0.418,61,85
MO,2022,other_pc,162.0,0.494,80,82
MO,2023,other_pc,137.0,0.474,65,72
MO,2017,private_passenger_auto,629.0,0.32299999999999995,203,426
MO,2018,private_passenger_auto,565.0,0.349,197,368
MO,2019,private_passenger_auto,566.0,0.387,219,347
MO,2020,private_passenger_auto,471.0,0.44799999999999995,211,260
MO,2021,private_passenger_auto,468.0,0.455,213,255
MO,2022,private_passenger_auto,570.0,0.461,263,307
MO,2023,private_passenger_auto,700.0,0.41,287,413
MO,2017,total,2629.0,0.342,899,1730
MO,2018,total,2395.0,0.349,836,1559
MO,2019,total,2263.0,0.37,837,1426
MO,2020,total,1940.0,0.401,778,1162
MO,2021,total,1904.0,0.391,744,1160
MO,2022,total,2063.0,0.436,899,1164
MO,2017,total_ah,1163.0,0.38799999999999996,451,712
MO,2018,total_ah,1119.0,0.349,391,728
MO,2019,total_ah,982.0,0.397,390,592
MO,2020,total_ah,819.0,0.40399999999999997,331,488
MO,2021,total_ah,688.0,0.414,285,403
MO,2022,total_ah,714.0,0.49,350,364
MO,2023,total_ah,790.0,0.519,410,380
MO,2017,total_pc,1117.0,0.309,345,772
MO,2018,total_pc,978.0,0.35200000000000004,344,634
MO,2019,total_pc,987.0,0.358,353,634
MO,2020,total_pc,893.0,0.415,371,522
MO,2021,total_pc,962.0,0.38,366,596
MO,2022,total_pc,1092.0,0.423,462,630
MO,2023,total_pc,1374.0,0.40399999999999997,555,819
