year,total_upheld_2yr,total_question_of_fact_2yr,total_not_upheld_2yr,total_complaints_2yr,total_premiums_millions_2yr_avg,n_companies,statewide_complaint_ratio
2009,966,2104,3738,6808,9712.951,181,0.09945484127326495
2010,621,2395,3410,6426,10027.525000000001,179,0.06192953894405648
2011,478,1423,2799,4700,10283.597000000002,169,0.046481790369653726
2012,459,1190,2374,4023,10609.529,172,0.0432629949925204
2013,520,972,1897,3389,10949.204,171,0.04749203686404966
2014,610,1382,2495,4487,11290.647999999997,170,0.05402701421565885
2015,281,1004,1758,3043,12276.910999999998,158,0.022888493693568362
2016,281,1004,1758,3043,12276.910999999998,158,0.022888493693568362
2017,392,964,1956,3312,12938.43,159,0.030297339012538615
2018,316,1013,1853,3182,13611.939999999999,151,0.023214912789800722
2019,419,765,1488,2672,14078.25,139,0.029762221867064443
2020,437,724,1992,3153,14101.929264,135,0.030988667707729328
2021,429,621,1541,2591,14449.430708,135,0.02968975101299195
2022,403,791,2036,3230,15095.4852975,132,0.02669672369305953
2023,445,792,2262,3499,16201.897276999998,124,0.027465919107616872
2024,629,1108,3414,5151,18428.201383500003,128,0.03413246832450972
