year,plan_type,total_complaints_dfs,upheld_complaints_dfs,premiums_millions,total_complaints_doh,upheld_complaints_doh,n_plans,upheld_per_million_premium
2015,Commercial,315,79,4990.150000000001,0,0,37,0.01583118743925533
2015,EPO/PPO,3603,1139,40149.369999999995,0,0,23,0.028369062827137765
2015,HMO,2223,784,5738.110000000001,7,1,10,0.13663035389701486
2016,Commercial,243,88,5593.650000000001,0,0,36,0.015732124820108516
2016,EPO/PPO,4402,1146,39931.630000000005,0,0,23,0.028699053857806453
2016,HMO,1196,409,6275.08,18,1,9,0.06517845190818285
2017,Commercial,249,68,4528.899999999999,0,0,33,0.015014683477224055
2017,EPO/PPO,5596,2614,35889.36,0,0,22,0.07283495721294556
2017,HMO,1115,402,5922.3099999999995,14,1,9,0.06787891886780666
2018,Commercial,247,49,4922.75,0,0,37,0.009953785993601137
2018,EPO/PPO,6967,3598,41799.14,0,0,23,0.08607832601340602
2018,HMO,1184,654,5354.4400000000005,7,0,8,0.1221416245209583
2019,Commercial,259,73,5379.29,0,0,39,0.013570564145082344
2019,EPO/PPO,4460,1692,43400.670000000006,0,0,24,0.03898557326419154
2019,HMO,1031,544,5288.15,7,3,8,0.10287151461286084
2020,Commercial,220,37,5754.4800000000005,0,0,39,0.006429772976880621
2020,EPO/PPO,5021,2072,42951.13,0,0,27,0.048240872824533376
2020,HMO,1281,390,4897.77,1,1,8,0.07962807563442137
2021,Commercial,242,49,6100.93,0,0,35,0.00803156240114212
2021,EPO/PPO,5403,1907,45861.229999999996,0,0,26,0.041581963676072364
2021,HMO,732,269,4784.08,1,0,6,0.056228156719787294
2022,Commercial,278,62,6751.82,0,0,35,0.009182709254689846
2022,EPO/PPO,5058,2432,45948.46000000001,0,0,28,0.05292886856273311
2022,HMO,730,419,5227.72,1,0,7,0.08014966371573075
2023,Commercial,323,77,7326.230000000002,0,0,37,0.010510180543062391
2023,EPO/PPO,6871,3700,46855.12000000001,0,0,26,0.07896682368970562
2023,HMO,1265,788,5860.4400000000005,1,0,6,0.13446089372129055
2024,Commercial,311,71,7002.57,0,0,36,0.010139134631999395
2024,EPO/PPO,6189,3290,45225.79999999999,0,0,24,0.07274608741028353
2024,HMO,694,376,6536.73,0,0,7,0.05752111529771002
