state,year,line,n_companies,total_complaints,total_confirmed,total_premium
OR,2019,annuities,175,20,4,3052201149
OR,2020,annuities,175,11,3,2540167289
OR,2021,annuities,175,19,4,2793917919
OR,2022,annuities,172,26,6,3205803082
OR,2023,annuities,177,48,9,3759889240
OR,2024,annuities,180,30,2,4392771453
OR,2025,annuities,178,28,6,4477675140
OR,2019,auto,359,1039,136,3580038009
OR,2020,auto,360,882,91,3552329933
OR,2021,auto,357,907,90,3650772917
OR,2022,auto,356,1316,238,3836166981
OR,2023,auto,359,1457,186,4345976046
OR,2024,auto,363,1456,120,4872813723
OR,2025,auto,365,1438,142,5090612482
OR,2019,health,328,748,146,7718266260
OR,2020,health,313,569,94,7870981487
OR,2021,health,315,421,70,7744792616
OR,2022,health,279,547,90,7970379882
OR,2023,health,269,616,145,8741364239
OR,2024,health,249,574,104,8746562577
OR,2025,health,253,730,99,8997360839
OR,2019,homeowners,125,219,25,892754037
OR,2020,homeowners,129,259,26,944325668
OR,2021,homeowners,131,409,60,1008150738
OR,2022,homeowners,133,373,58,1126583099
OR,2023,homeowners,130,557,71,1298834430
OR,2024,homeowners,122,797,103,1507641399
OR,2025,homeowners,116,775,115,1714649948
OR,2019,life,336,123,20,1350937777
OR,2020,life,329,117,9,1360856358
OR,2021,life,325,128,16,1428328934
OR,2022,life,326,164,22,1464321236
OR,2023,life,327,126,21,1489513692
OR,2024,life,325,140,20,1475796362
OR,2025,life,317,116,17,1514361785
OR,2019,long_term_care,74,42,5,139740659
OR,2020,long_term_care,71,45,4,139935689
OR,2021,long_term_care,74,35,4,140554069
OR,2022,long_term_care,74,64,9,136936563
OR,2023,long_term_care,70,48,8,131190224
OR,2024,long_term_care,70,39,7,122142994
OR,2025,long_term_care,67,46,9,131182607
